Category,Document
Reporting mechanism,"Reporting a Vulnerability - Report vulnerabilities either via [GitHub's private reporting flow](https://github.com/microcosm-cc/bluemonday/security/advisories/new) or via email to the security@ alias of geomys.org.

There is no bug bounty program but security issues will be taken seriously and resolved as soon as possible."
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version | Supported          |
| ------- | ------------------ |
| 2.11.x     | :white_check_mark: |
| < 2.11.x   | :x:                |"
Reporting mechanism,Reporting a Vulnerability - Please report the vulnerability using https://github.com/scrapy/scrapy/security/advisories/new.
Generic policy,Security Policy
Reporting mechanism,Reporting a Vulnerability - Please report all vulnerabilities to security@wandb.com.
Generic policy,Data Privacy and Security
Generic policy,Security Measures
User guideline,LiteLLM Github - - All commits run through Github's CodeQL checking
User guideline,"Self-hosted Instances LiteLLM - - **No data or telemetry is stored on LiteLLM Servers when you self host**
- For installation and configuration, see: [Self-hosting guided](https://docs.litellm.ai/docs/proxy/deploy)
- **Telemetry** We run no telemetry when you self host LiteLLM"
User guideline,"LiteLLM Cloud - - We encrypt all data stored using your `LITELLM_MASTER_KEY` and in transit using TLS.
- Our database and application run on GCP, AWS infrastructure, partly managed by NeonDB.
    - US data region: Northern California (AWS/GCP `us-west-1`) & Virginia (AWS `us-east-1`)
    - EU data region Germany/Frankfurt (AWS/GCP `eu-central-1`)
- All users have access to SSO (Single Sign-On) through OAuth 2.0 with Google, Okta, Microsoft, KeyCloak. 
- Audit Logs with retention policy
- Control Allowed IP Addresses that can access your Cloud LiteLLM Instance

For security inquiries, please contact us at support@berri.ai


For security inquiries, please contact us at support@berri.ai"
User guideline,"Supported data regions for LiteLLM Cloud - LiteLLM supports the following data regions:

- US, Northern California (AWS/GCP `us-west-1`)
- Europe, Frankfurt, Germany (AWS/GCP `eu-central-1`)

All data, user accounts, and infrastructure are completely separated between these two regions"
Reporting mechanism,"Security Vulnerability Reporting Guidelines - We value the security community's role in protecting our systems and users. To report a security vulnerability:

- Email support@berri.ai with details
- Include steps to reproduce the issue
- Provide any relevant additional information

We'll review all reports promptly. Note that we don't currently offer a bug bounty program."
Generic policy,"Security Policy - MLflow and its community take security bugs seriously. We appreciate efforts to improve the security of MLflow
and follow the [GitHub coordinated disclosure of security vulnerabilities](https://docs.github.com/en/code-security/security-advisories/about-coordinated-disclosure-of-security-vulnerabilities#about-reporting-and-disclosing-vulnerabilities-in-projects-on-github)
for responsible disclosure and prompt mitigation. We are committed to working with security researchers to
resolve the vulnerabilities they discover."
Scope of practise,"Supported Versions - The latest version of MLflow has continued support. If a critical vulnerability is found in the current version
of MLflow, we may opt to backport patches to previous versions."
Reporting mechanism,"Reporting a Vulnerability - When finding a security vulnerability in MLflow, please perform the following actions:

- [Open an issue](https://github.com/mlflow/mlflow/issues/new?assignees=&labels=bug&template=bug_report_template.md&title=%5BBUG%5D%20Security%20Vulnerability) on the MLflow repository. Ensure that you use `[BUG] Security Vulnerability` as the title and _do not_ mention any vulnerability details in the issue post.
- Send a notification [email](mailto:mlflow-oss-maintainers@googlegroups.com) to `mlflow-oss-maintainers@googlegroups.com` that contains, at a minimum:
  - The link to the filed issue stub.
  - Your GitHub handle.
  - Detailed information about the security vulnerability, evidence that supports the relevance of the finding and any reproducibility instructions for independent confirmation.

This first stage of reporting is to ensure that a rapid validation can occur without wasting the time and effort of a reporter. Future communication and vulnerability resolution will be conducted after validating
the veracity of the reported issue.

An MLflow maintainer will, after validating the report:

- Acknowledge the [bug](ISSUE_POLICY.md#bug-reports) during [triage](ISSUE_TRIAGE.rst)
- Mark the issue as `priority/critical-urgent`
- Open a draft [GitHub Security Advisory](https://docs.github.com/en/code-security/security-advisories/creating-a-security-advisory)
  to discuss the vulnerability details in private.

The private Security Advisory will be used to confirm the issue, prepare a fix, and publicly disclose it after the fix has been released."
Reporting mechanism,"How to report a security issue - To report a (suspected) security issue, please email `bugbounty@prefect.io` and follow the instructions for our [bug bounty program](https://www.prefect.io/bug-bounty).

Prefect will acknowledge receipt of your report in a timely manner, usually within 48 hours. After the initial reply to your report, the security team will keep you informed of the progress towards a fix and full announcement, and may ask for additional information or guidance."
Generic policy,Security Policy - OctoPrint's security policy can be found [here](https://octoprint.org/security/).
Generic policy,Nautobot Security Policy
User guideline,Security Announcements - Join the #nautobot channel in the Network to Code Slack for messages about security and release announcements.
Reporting mechanism,"Report a Vulnerability - We appreciate the time security researchers and users contribute to reporting vulnerabilities to the Nautobot Community.

If you feel your report is safe for public disclosure (a CVE related to a dependency, or a low-risk bug) please feel free to open a bug [issue on GitHub](https://github.com/nautobot/nautobot/issues/new/choose).

If you are unsure of the severity of your report or you feel it should not be publicly disclosed until a fix has been released, you can also email [security@nautobot.com](mailto:security@nautobot.com) with the security details.

You may encrypt your email with the GPG keys of the security response members below. While accepted, encryption using GPG is NOT mandatory to make a disclosure."
User guideline,"When Should I Report a Vulnerability? - - You think you discovered a potential security vulnerability in Nautobot
- You are unsure how a vulnerability affects Nautobot
- You think you discovered a vulnerability in another project that Nautobot depends on"
User guideline,"When Should I NOT Report a Vulnerability? - - You need help configuring Nautobot security settings (such as external auth)
- You need help applying security related updates
- Your issue is not security related"
Projects practise,"Security Vulnerability Response - Each report is acknowledged and analyzed by security response members within five (5) working days.

Any vulnerability information shared with security response members stays within the Nautobot project and will not be disseminated to other projects unless it is necessary to get the issue fixed.

As the security issue moves from triage, to identified fix, to release planning we will keep the reporter updated."
Projects practise,"Public Disclosure Timing - A public disclosure date is negotiated by the Nautobot maintainers and the bug submitter. We prefer to fully disclose the bug as soon as possible once a user mitigation is available. It is reasonable to delay disclosure when the bug or the fix is not yet fully understood, the solution is not well-tested, or for vendor coordination. The timeframe for disclosure is from immediate (especially if it's already publicly known) to a few weeks. For a vulnerability with a straightforward mitigation, we expect report date to disclosure date to be on the order of ten (10) days. The Nautobot maintainers hold the final say when setting a disclosure date.

Disclosures, regardless of outcome, [will be published on GitHub](https://github.com/nautobot/nautobot/issues?q=label%3A%22security+disclosure%22) with the label ""security disclosure""."
Information on maintainer,"Team - Below are the current team members responsible for receiving and triaging Nautobot security issues.

- Glenn Matthews (**[@glennmatthews](https://github.com/glennmatthews)**) `<glenn.matthews@networktocode.com>` [[4096R/C3DF1C5D9727F82ACF8F743238BF0D0E68B9F76C]](https://keybase.io/glennmatthews/pgp_keys.asc)
- Bryan Culver (**[@bryanculver](https://github.com/bryanculver)**) `<bryan.culver@networktocode.com>` [[4096R/810BA9FC788A8B2C9EB9559C834D7494DEDB1DD8]](https://keybase.io/bryanculver/pgp_keys.asc)
- John Anderson (**[@lampwins](https://github.com/lampwins)**) `<john.anderson@networktocode.com>`
- Jonathan Swisher (**[@LoneStar-Swish](https://github.com/LoneStar-Swish)**) `<jonathan.swisher@networktocode.com>` [[4096R/E0B0E95E80BF2E652BABA4C67BC452A3795882D6]](https://keybase.io/jswisher/pgp_keys.asc)"
Reporting mechanism,"Security - For the Plone Foundation, security is a process that we take seriously, and we have the track record to prove it.

- [Report a security issue](https://plone.org/security/report)
- [Security Announcements](https://plone.org/security/announcements)
- [Read more about security in Plone](https://plone.org/security)"
Reporting mechanism,"SaltStack's Security Disclosure Policy - **Email**
- saltproject-security.pdl@broadcom.com

**GPG key ID:**
- 37654A06

**GPG key fingerprint:**
- `99EF 26F2 6469 2D24 973A 7007 E8BF 76A7 3765 4A06`

**GPG Public Key**

```
-----BEGIN PGP PUBLIC KEY BLOCK-----

mQINBGZpxDsBEACz8yoRBXaJiifaWz3wd4FLSO18mgH7H/+0iNTbV1ZwhgGEtWTF
Z31HfrsbxVgICoMgFYt8WKnc4MHZLIgDfTuCFQpf7PV/VqRBAknZwQKEAjHfrYNz
Q1vy3CeKC1qcKQISEQr7VFf58sOC8GJ54jLLc2rCsg9cXI6yvUFtGwL9Qv7g/NZn
rtLjc4NZIKdIvSt+/PtooQtsz0jfLMdMpMFa41keH3MknIbydBUnGj7eC8ANN/iD
Re2QHAW2KfQh3Ocuh/DpJ0/dwbzXmXfMWHk30E+s31TfdLiFt1Iz5kZDF8iHrDMq
x39/GGmF10y5rfq43V1Ucxm+1tl5Km0JcX6GpPUtgRpfUYAxwxfGfezt4PjYRYH2
mNxXXPLsnVTvdWPTvS0msSrcTHmnU5His38I6goXI7dLZm0saqoWi3sqEQ8TPS6/
DkLtYjpb/+dql+KrXD7erd3j8KKflIXn7AEsv+luNk6czGOKgdG9agkklzOHfEPc
xOGmaFfe/1mu8HxgaCuhNAQWlk79ZC+GAm0sBZIQAQRtABgag5vWr16hVix7BPMG
Fp8+caOVv6qfQ7gBmJ3/aso6OzyOxsluVxQRt94EjPTm0xuwb1aYNJOhEj9cPkjQ
XBjo3KN0rwcAViR/fdUzrIV1sn2hms0v5WZ+TDtz1w0OpLZOwe23BDE1+QARAQAB
tEJTYWx0IFByb2plY3QgU2VjdXJpdHkgVGVhbSA8c2FsdHByb2plY3Qtc2VjdXJp
dHkucGRsQGJyb2FkY29tLmNvbT6JAlcEEwEKAEEWIQSZ7ybyZGktJJc6cAfov3an
N2VKBgUCZmnEOwIbAwUJB4TOAAULCQgHAgIiAgYVCgkICwIEFgIDAQIeBwIXgAAK
CRDov3anN2VKBk7rD/9QdcYdNGfk96W906HlVpb3JCwT0t9T7ElP97Ot0YN6LqMj
vVQpxWYi7riUSyt1FtlCAM+hmghImzILF9LKDRCZ1H5UStI/u9T53cZpUZtVW/8R
bUNBCl495UcgioIZG5DsfZ/GdBOgY+hQfdgh7HC8a8A/owCt2hHbnth970NQ+LHb
/0ERLfOHRxozgPBhze8Vqf939KlteM5ljgTw/IkJJIsxJi4C6pQntSHvB3/Bq/Nw
Kf3vk3XYFtVibeQODSVvc6useo+SNGV/wsK/6kvh/vfP9Trv/GMOn/89Bj2aL1PR
M382E6sDB9d22p4ehVgbcOpkwHtr9DGerK9xzfG4aUjLu9qVD5Ep3gqKSsCe+P8z
bpADdVCnk+Vdp3Bi+KI7buSkqfbZ0m9vCY3ei1fMiDiTTjvNliL5QCO6PvYNYiDw
+LLImrQThv55ZRQsRRT7J6A94kwDoI6zcBEalv/aPws0nQHJtgWRUpmy5RcbVu9Z
QBXlUpCzCB+gGaGRE1u0hCfuvkbcG1pXFFBdSUuAK4o4ktiRALVUndELic/PU1nR
jwo/+j0SGw/jTwqVChUfLDZbiAQ2JICoVpZ+e1zQfsxa/yDu2e4D543SvNFHDsxh
bsBeCsopzJSA0n2HAdYvPxOPoWVvZv+U8ZV3EEVOUgsO5//cRJddCgLU89Q4DrkC
DQRmacQ7ARAAsz8jnpfw3DCRxdCVGiqWAtgj8r2gx5n1wJsKsgvyGQdKUtPwlX04
7w13lIDT2DwoXFozquYsTn9XkIoWbVckqo0NN/V7/QxIZIYTqRcFXouHTbXDJm5C
tsvfDlnTsaplyRawPU2mhYg39/lzIt8zIjvy5zo/pElkRP5m03nG+ItrsHN6CCvf
ZiRxme6EQdn+aoHh2GtICL8+c3HvQzTHYKxFn84Ibt3uNxwt+Mu6YhG9tkYMQQk5
SkYA4CYAaw2Lc/g0ee36iqw/5d79M8YcQtHhy5zzqgdEvExjFPdowV1hhFIEkNkM
uqIAknXVesqLLw2hPeYmyhYQqeBKIrWmBhBKX9c0vMYkDDH3T/sSylVhH0QAXP6E
WmLja3E1ov6pt6j7j/wWzC9LSMFDJI2yWCeOE1oea5D89tH6XvsGRTiog62zF/9a
77197iIa0+o91chp4iLkzDvuK8pVujPx8bNsK8jlJ+OW73NmliCVg+hecoFLNsri
/TsBngFNVcu79Q1XfyvoDdR2C09ItCBEZGt6LOlq/+ATUw1aBz6L1hvLBtiR3Hfu
X31YlbxdvVPjlzg6O6GXSfnokNTWv2mVXWTRIrP0RrKvMyiNPXVW7EunUuXI0Axk
Xg3E5kAjKXkBXzoCTCVz/sXPLjvjI0x3Z7obgPpcTi9h5DIX6PFyK/kAEQEAAYkC
PAQYAQoAJhYhBJnvJvJkaS0klzpwB+i/dqc3ZUoGBQJmacQ7AhsMBQkHhM4AAAoJ
EOi/dqc3ZUoGDeAQAKbyiHA1sl0fnvcZxoZ3mWA/Qesddp7Nv2aEW8I3hAJoTVml
ZvMxk8leZgsQJtSsVDNnxeyW+WCIUkhxmd95UlkTTj5mpyci1YrxAltPJ2TWioLe
F2doP8Y+4iGnaV+ApzWG33sLr95z37RKVdMuGk/O5nLMeWnSPA7HHWJCxECMm0SH
uI8aby8w2aBZ1kOMFB/ToEEzLBu9fk+zCzG3uH8QhdciMENVhsyBSULIrmwKglyI
VQwj2dXHyekQh7QEHV+CdKMfs3ZOANwm52OwjaK0dVb3IMFGvlUf4UXXfcXwLAkj
vW+Ju4kLGxVQpOlh1EBain9WOaHZGh6EGuTpjJO32PyRq8iSMNb8coeonoPFWrE/
A5dy3z5x5CZhJ6kyNwYs/9951r30Ct9qNZo9WZwp8AGQVs+J9XEYnZIWXnO1hdKs
dRStPvY7VqS500t8eWqWRfCLgofZAb9Fv7SwTPQ2G7bOuTXmQKAIEkU9vzo5XACu
AtR/9bC9ghNnlNuH4xiViBclrq2dif/I2ZwItpQHjuCDeMKz9kdADRI0tuNPpRHe
QP1YpURW+I+PYZzNgbnwzl6Bxo7jCHFgG6BQ0ih5sVwEDhlXjSejd8CNMYEy3ElL
xJLUpltwXLZSrJEXYjtJtnh0om71NXes0OyWE1cL4+U6WA9Hho6xedjk2bai
=pPmt
-----END PGP PUBLIC KEY BLOCK-----
```

The SaltStack Security Team is available at saltproject-security.pdl@broadcom.com for
security-related bug reports or questions.

We request the disclosure of any security-related bugs or issues be reported
non-publicly until such time as the issue can be resolved and a security-fix
release can be prepared. At that time we will release the fix and make a public
announcement with upgrade instructions and download locations."
Reporting mechanism,"Security response procedure - SaltStack takes security and the trust of our customers and users very
seriously. Our disclosure policy is intended to resolve security issues as
quickly and safely as is possible.

1.  A security report sent to saltproject-security.pdl@broadcom.com is assigned to a team
    member. This person is the primary contact for questions and will
    coordinate the fix, release, and announcement.

2.  The reported issue is reproduced and confirmed. A list of affected projects
    and releases is made.

3.  Fixes are implemented for all affected projects and releases that are
    actively supported. Back-ports of the fix are made to any old releases that
    are actively supported.

4.  Packagers are notified via the [salt-packagers](https://groups.google.com/forum/#!forum/salt-packagers) mailing list that an issue
    was reported and resolved, and that an announcement is incoming.

5.  A new release is created and pushed to all affected repositories. The
    release documentation provides a full description of the issue, plus any
    upgrade instructions or other relevant details.

6.  An announcement is made to the [salt-users](https://groups.google.com/forum/#!forum/salt-users) and [salt-announce](https://groups.google.com/forum/#!forum/salt-announce) mailing
    lists. The announcement contains a description of the issue and a link to
    the full release documentation and download locations."
Projects practise,"Receiving security announcements - The fastest place to receive security announcements is via the [salt-announce](https://groups.google.com/forum/#!forum/salt-announce)
mailing list. This list is low-traffic."
User guideline,"Guidance on Salt and security best practices - Reference the following documentation to ensure Salt best practices are being
implemented in your infrastructure:

- [Docs: Hardening Salt](https://docs.saltproject.io/en/master/topics/hardening.html)
- [Docs: Salt Best Practices](https://docs.saltproject.io/en/master/topics/best_practices.html)
- [Blog: How I Hardened My Salt Environment](https://saltproject.io/blog/how-i-hardened-my-salt-environment/)"
Generic policy,"Security Policy - This is a project of the [Apache Software Foundation](https://apache.org) and follows the
ASF [vulnerability handling process](https://apache.org/security/#vulnerability-handling)."
Reporting mechanism,"Reporting Vulnerabilities - **⚠️ Please do not file GitHub issues for security vulnerabilities as they are public! ⚠️**


Apache Software Foundation takes a rigorous standpoint in annihilating the security issues
in its software projects. Apache Superset is highly sensitive and forthcoming to issues
pertaining to its features and functionality.
If you have any concern or believe you have found a vulnerability in Apache Superset,
please get in touch with the Apache Superset Security Team privately at
e-mail address [security@superset.apache.org](mailto:security@superset.apache.org).

More details can be found on the ASF website at
[ASF vulnerability reporting process](https://apache.org/security/#reporting-a-vulnerability)

We kindly ask you to include the following information in your report:
- Apache Superset version that you are using
- A sanitized copy of your `superset_config.py` file or any config overrides
- Detailed steps to reproduce the vulnerability

Note that Apache Superset is not responsible for any third-party dependencies that may
have security issues. Any vulnerabilities found in third-party dependencies should be
reported to the maintainers of those projects. Results from security scans of Apache
Superset dependencies found on its official Docker image can be remediated at release time
by extending the image itself.

**Your responsible disclosure and collaboration are invaluable.**"
User guideline,"Extra Information - - [Apache Superset documentation](https://superset.apache.org/docs/security)
 - [Common Vulnerabilities and Exposures by release](https://superset.apache.org/docs/security/cves)
 - [How Security Vulnerabilities are Reported & Handled in Apache Superset (Blog)](https://preset.io/blog/how-security-vulnerabilities-are-reported-and-handled-in-apache-superset/)"
Generic policy,Security Policy - Thanks for helping make Litestar safe for everyone.
Generic policy,"Security - Litestar takes the security of our projects and services seriously, including all of the repositories managed by the [litestar organization](https://github.com/litestar-org).

We will ensure that your finding gets escalated to the appropriate maintainer(s) for remediation."
Reporting mechanism,"Reporting Security Issues - **Please do not report security vulnerabilities through public GitHub issues, discussions, or pull requests.**

[Click to Open a Security Advisory Privately](https://github.com/litestar-org/litestar/security/advisories/new)

If you believe you have found a security vulnerability in any Litestar-managed repository, please report it to us through coordinated disclosure:

- In the affected repository, browse to the **Security** tab, select **Advisories**, select ""Report a vulnerability""
  - ![image](https://user-images.githubusercontent.com/45884264/217041010-8fd6b96b-329d-4d8e-8838-9b5bf4e1a78d.png)
- Please do **NOT** create an issue in the affected repository
- Please do **NOT** send a private message to and/or tag the ""@maintainer"" role on our [Discord server](https://discord.gg/MmcwxztmQb)

Please include as much of the information listed below as you can to help us better understand and resolve the issue:

- The type of issue (e.g., buffer overflow, SQL injection, or cross-site scripting)
- Full paths of source file(s) related to the manifestation of the issue
- The location of the affected source code (tag/branch/commit or direct URL)
- Any special configuration required to reproduce the issue
- Step-by-step instructions to reproduce the issue
- Proof-of-concept or exploit code (if possible)
- Impact of the issue, including how an attacker might exploit the issue

This information will help us triage your report more quickly."
Generic policy,"Security Policy - All Pallets projects share the same security policy. See
https://palletsprojects.com/security, the canonical location for the policy,
which this is copied from."
User guideline,"Before Reporting - There are some things we generally do not consider security issues, which can be
found at the canonical policy page: https://palletsprojects.com/security. Please
review the list before reporting an issue. You may still err on the side of
caution and make a private report first, but we may close it or ask you to
report a regular issue instead."
Reporting mechanism,"Reporting a Security Issue - If you believe you have identified a security issue with a Pallets or
Pallets-Eco project, **do not open a public issue**. To responsibly report a
security issue, use GitHub's [security advisory system][gh-docs]. From the
project's repository, click ""Security"" at the top, then click ""Advisories"" at
the left, then click the green ""New draft security advisory"" button.
Alternatively, you may email [security@palletsprojects.com](mailto:security@palletsprojects.com),
and we will convert that to a GitHub security advisory.

Be sure to include as much detail as necessary in your report. As with reporting
normal issues, a minimal reproducible example will help the maintainers address
the issue faster. Information about why the issue is a security issue is also
helpful. If you are able, you may also provide a fix for the issue.

A maintainer will reply acknowledging the report and how to continue. We will
obtain a CVE id as well, please do not do this on your own. We will work with
you to attempt to understand the issue and decide on its validity. Maintainers
are volunteers working in their free time, and therefore cannot guarantee any
specific timeline. Please be patient during this process.

The current feature release will receive security fixes. A backport to the
previous feature branch may be considered upon request based on usage information
and severity, but is not guaranteed.

[gh-docs]: https://docs.github.com/en/code-security/security-advisories/working-with-repository-security-advisories/creating-a-repository-security-advisory"
Generic policy,"Security Policy - All Pallets projects share the same security policy. See
https://palletsprojects.com/security, the canonical location for the policy,
which this is copied from."
User guideline,"Before Reporting - There are some things we generally do not consider security issues, which can be
found at the canonical policy page: https://palletsprojects.com/security. Please
review the list before reporting an issue. You may still err on the side of
caution and make a private report first, but we may close it or ask you to
report a regular issue instead."
Reporting mechanism,"Reporting a Security Issue - If you believe you have identified a security issue with a Pallets or
Pallets-Eco project, **do not open a public issue**. To responsibly report a
security issue, use GitHub's [security advisory system][gh-docs]. From the
project's repository, click ""Security"" at the top, then click ""Advisories"" at
the left, then click the green ""New draft security advisory"" button.
Alternatively, you may email [security@palletsprojects.com](mailto:security@palletsprojects.com),
and we will convert that to a GitHub security advisory.

Be sure to include as much detail as necessary in your report. As with reporting
normal issues, a minimal reproducible example will help the maintainers address
the issue faster. Information about why the issue is a security issue is also
helpful. If you are able, you may also provide a fix for the issue.

A maintainer will reply acknowledging the report and how to continue. We will
obtain a CVE id as well, please do not do this on your own. We will work with
you to attempt to understand the issue and decide on its validity. Maintainers
are volunteers working in their free time, and therefore cannot guarantee any
specific timeline. Please be patient during this process.

The current feature release will receive security fixes. A backport to the
previous feature branch may be considered upon request based on usage information
and severity, but is not guaranteed.

[gh-docs]: https://docs.github.com/en/code-security/security-advisories/working-with-repository-security-advisories/creating-a-repository-security-advisory"
Generic policy,Security Policy
Scope of practise,"Supported Versions - We support only the latest version, and we use [CalVer](https://calver.org/) for versioning.

You should feel comfortable upgrading if you're using our documented public APIs and pay attention to `DeprecationWarnings`. Whenever there is a need to break compatibility, it is announced in the [Changelog](https://www.nebari.dev/docs/references/RELEASE) and will raise a `DeprecationWarning` before it's finally really broken."
Reporting mechanism,"Reporting a Vulnerability - If you think you found a vulnerability, please report it at [nebari/security](https://github.com/nebari-dev/nebari/security/advisories/new). Please do not report security vulnerabilities on our public issue tracker. Exposing vulnerabilities publicly without giving maintainers a chance to release a fix puts users at risk."
Reporting mechanism,"Reporting a Vulnerability - **If you've found a security vulnerability in Element software, please report it to security@element.io.**

For more information on our security disclosure policy, visit https://element.io/security/security-disclosure-policy."
Reporting mechanism,"Reporting Security Issues - Amazon Web Services (AWS) is dedicated to the responsible disclosure of security vulnerabilities.  
  
We kindly ask that you **do not** open a public GitHub issue to report security concerns.  
  
Instead, please submit the issue to the AWS Vulnerability Disclosure Program via [HackerOne](https://hackerone.com/aws_vdp) or send your report via [email](mailto:aws-security@amazon.com).  
  
For more details, visit the [AWS Vulnerability Reporting Page](http://aws.amazon.com/security/vulnerability-reporting/).  

Thank you in advance for collaborating with us to help protect our customers."
Generic policy,Security Policy
Scope of practise,"Supported Versions - master branch and latest release get priority support. You should expect all known problems fixed in master.

All other released versions receive security updates per request.
If you use some old version and can not upgrade for any or no reason, ask for security update release, most likely you will get it."
Reporting mechanism,"Reporting a Vulnerability - Contact current maintainers. At 2021-03: temotor@gmail.com or https://t.me/temotor
If that doesn't work, open Github issue just asking for private communication channel.

This is volunteer maintained project, all issues are processed on best effort basis, no deadlines promised. Of course, security vulnerabilities get priority over regular issues.

You can expect fame in history or maybe you prefer anonymity - say what you prefer.

Thank you for responsible handling of security problems. Your attention and effort are appreciated."
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version     | Supported          |
| ----------- | ------------------ |
| >= 4.11.2   | :white_check_mark: |
| < 4.11.2    | :x:                |"
Reporting mechanism,"Security contact information - To report a security vulnerability, please use the
[Tidelift security contact](https://tidelift.com/security).
Tidelift will coordinate the fix and disclosure."
Reporting mechanism,"Reporting Vulnerabilities - **⚠️ Please do not file public GitHub issues for security
vulnerabilities as they are open for everyone to see! ⚠️**

We encourage responsible disclosure practices for security vulnerabilities.

If you believe you've found a security-related bug, fill out a new
vulnerability report via GitHub directly. To do so follow these instructions:
1. Click on the `Security` tab in the project repository.
2. Click the green `Report a vulnerability` button at the top right corner.
3. Fill in the form as accurately as you can, including as many details as
   possible.
4. Click the green `Submit report` button at the bottom."
